TransLvl,NameStr,MonType,AI,Level,lUndead,hUndead,demon,flying,Skill1,Sk1mode,Sk1lvl,Skill2,Sk2mode,Sk2lvl,Skill3,Sk3mode,Sk3lvl,Skill4,Sk4mode,Sk4lvl,Skill5,Sk5mode,Sk5lvl,Skill6,Sk6mode,Sk6lvl,Skill7,Sk7mode,Sk7lvl,Skill8,Sk8mode,Sk8lvl,ResDm,ResMa,ResFi,ResLi,ResCo,ResPo,ToBlock,minHP,maxHP,AC,Exp,A1MinD,A1MaxD,A1TH,TreasureClass1,TreasureClass2,TreasureClass3
0,Skeleton,skeleton,Skeleton,2,1,,,,SkeletonRaise,seq_skeletonraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,86,129,84,86,34,101,101,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
1,Returned,skeleton,Skeleton,6,1,,,,SkeletonRaise,seq_skeletonraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,,50,15,87,127,84,86,41,101,93,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
2,BoneWarrior,skeleton,Skeleton,7,1,,,,SkeletonRaise,seq_skeletonraise,1,,,,,,,,,,,,,,,,,,,,,,,,,,40,50,20,89,124,84,85,41,121,94,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
3,BurningDead,skeleton,Skeleton,13,1,,,,SkeletonRaise,seq_skeletonraise,1,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,25,93,133,84,85,45,101,93,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
4,Horror,skeleton,Skeleton,14,1,,,,SkeletonRaise,seq_skeletonraise,1,,,,,,,,,,,,,,,,,,,,,,,20,,60,,50,30,94,131,84,85,41,101,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
0,Zombie,zombie,Zombie,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3,101,181,84,111,51,151,101,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
1,HungryDead,zombie,Zombie,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,101,186,84,111,34,101,101,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
2,Ghoul,zombie,Zombie,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,13,108,197,84,109,51,138,93,Act 2 H2H C,Act 2 Champ C,Act 2 Unique C
3,DrownedCarcass,zombie,Zombie,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,50,,,50,22,107,192,85,109,51,136,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
4,PlagueBearer,zombie,Zombie,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,50,17,109,192,84,109,55,137,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
