Name,Tier,rare,elite,eliteonly,ilvl,maxlevel,frequency,plvlreq,group,mod1code,mod1min,mod1max,mod2code,mod2min,mod2max,mod3code,mod3min,mod3max,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,2,str,1,3,,,,,,,jewelry,,,,,,,,,,,
,2,1,1,0,6,,9,,2,str,4,7,,,,,,,jewelry,,,,,,,,,,,
,3,1,1,0,20,,8,,2,str,8,11,,,,,,,jewelry,,,,,,,,,,,
,4,1,1,0,40,,7,,2,str,12,15,,,,,,,jewelry,,,,,,,,,,,
,5,1,0,0,73,,6,,2,str,16,20,,,,,,,jewelry,,,,,,,,,,,
,6,0,0,0,88,,5,,2,str,21,25,,,,,,,jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,2,str,1,3,,,,,,,melee weapons,,,,,,,,,,,
,2,1,1,0,9,,9,,2,str,4,7,,,,,,,melee weapons,,,,,,,,,,,
,3,1,1,0,24,,8,,2,str,8,11,,,,,,,melee weapons,,,,,,,,,,,
,4,1,0,0,55,,7,,2,str,12,15,,,,,,,melee weapons,,,,,,,,,,,
,5,0,0,0,65,,6,,2,str,16,20,,,,,,,melee weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,2,str,1,3,,,,,,,armor,,,,,,,,,,,
,2,1,1,0,10,,9,,2,str,4,7,,,,,,,armor,,,,,,,,,,,
,3,1,1,0,28,,8,,2,str,8,11,,,,,,,armor,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexterity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,3,dex,1,3,,,,,,,jewelry,,,,,,,,,,,
,2,1,1,0,6,,9,,3,dex,4,7,,,,,,,jewelry,,,,,,,,,,,
,3,1,1,0,20,,8,,3,dex,8,11,,,,,,,jewelry,,,,,,,,,,,
,4,1,1,0,40,,7,,3,dex,12,15,,,,,,,jewelry,,,,,,,,,,,
,5,1,0,0,73,,6,,3,dex,16,20,,,,,,,jewelry,,,,,,,,,,,
,6,0,0,0,88,,5,,3,dex,21,25,,,,,,,jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,3,dex,1,3,,,,,,,range weapons,,,,,,,,,,,
,2,1,1,0,9,,9,,3,dex,4,7,,,,,,,range weapons,,,,,,,,,,,
,3,1,1,0,24,,8,,3,dex,8,11,,,,,,,range weapons,,,,,,,,,,,
,4,1,0,0,55,,7,,3,dex,12,15,,,,,,,range weapons,,,,,,,,,,,
,5,0,0,0,65,,6,,3,dex,16,20,,,,,,,range weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,3,dex,1,3,,,,,,,armor,,,,,,,,,,,
,2,1,1,0,10,,9,,3,dex,4,7,,,,,,,armor,,,,,,,,,,,
,3,1,1,0,28,,8,,3,dex,8,11,,,,,,,armor,,,,,,,,,,,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,4,int,1,3,,,,,,,jewelry,,,,,,,,,,,
,2,1,1,0,6,,9,,4,int,4,7,,,,,,,jewelry,,,,,,,,,,,
,3,1,1,0,20,,8,,4,int,8,11,,,,,,,jewelry,,,,,,,,,,,
,4,1,1,0,40,,7,,4,int,12,15,,,,,,,jewelry,,,,,,,,,,,
,5,1,0,0,73,,6,,4,int,16,20,,,,,,,jewelry,,,,,,,,,,,
,6,0,0,0,88,,5,,4,int,21,25,,,,,,,jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,4,int,1,3,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,9,,9,,4,int,4,7,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,24,,8,,4,int,8,11,,,,,,,magic weapons,,,,,,,,,,,
,4,1,0,0,55,,7,,4,int,12,15,,,,,,,magic weapons,,,,,,,,,,,
,5,0,0,0,65,,6,,4,int,16,20,,,,,,,magic weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,4,int,1,3,,,,,,,armor,,,,,,,,,,,
,2,1,1,0,10,,9,,4,int,4,7,,,,,,,armor,,,,,,,,,,,
,3,1,1,0,28,,8,,4,int,8,11,,,,,,,armor,,,,,,,,,,,
Agility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,5,agi,1,3,,,,,,,jewelry,,,,,,,,,,,
,2,1,1,0,6,,9,,5,agi,4,7,,,,,,,jewelry,,,,,,,,,,,
,3,1,1,0,20,,8,,5,agi,8,11,,,,,,,jewelry,,,,,,,,,,,
,4,1,1,0,40,,7,,5,agi,12,15,,,,,,,jewelry,,,,,,,,,,,
,5,1,0,0,73,,6,,5,agi,16,20,,,,,,,jewelry,,,,,,,,,,,
,6,0,0,0,88,,5,,5,agi,21,25,,,,,,,jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,5,agi,1,3,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,9,,9,,5,agi,4,7,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,24,,8,,5,agi,8,11,,,,,,,weapons,,,,,,,,,,,
,4,1,0,0,55,,7,,5,agi,12,15,,,,,,,weapons,,,,,,,,,,,
,5,0,0,0,65,,6,,5,agi,16,20,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,5,agi,1,3,,,,,,,armor,,,,,,,,,,,
,2,1,1,0,10,,9,,5,agi,4,7,,,,,,,armor,,,,,,,,,,,
,3,1,1,0,28,,8,,5,agi,8,11,,,,,,,armor,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,10,,6,,1,4,,,,,,,armor,,,,,,,,,,,
,2,1,1,0,12,,9,,6,,5,10,,,,,,,armor,,,,,,,,,,,
,3,1,1,0,25,,8,,6,,11,16,,,,,,,armor,,,,,,,,,,,
,4,1,1,0,38,,7,,6,,17,24,,,,,,,armor,,,,,,,,,,,
,5,1,0,0,55,,6,,6,,25,33,,,,,,,armor,,,,,,,,,,,
,6,0,0,0,66,,5,,6,,34,45,,,,,,,armor,,,,,,,,,,,
Heat Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,7,heat-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
